Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,English_Word_Count,positive_score,negative_score,neutral_score,label,positive_words,negative_words,processing_status
Qismat Ki Maari,00:00:05.040,ابا بہن نہیں آئیں گے، کیوں؟,6,"Dad sister won't come, why?",5,,,5,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:00:11.360,عزیز کسی کے مارے جانے کی وجہ سے۔۔۔یہ ہوتا ہے بیٹیوں کا۔,12,Dear due to someone being killed.This is the fate of daughters.,11,,,11,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:00:16.900,اب یہ ان پر منحصر ہے کہ کیا وہ اسے بھیجنا چاہتے ہیں۔  ورنہ ہم اس کی ماں کو نہیں کہہ سکتے,22,"Now it's up to them if they want to send her away. Otherwise, we can't call her",17,,,17,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:00:22.100,یہ انا کا قصور نہیں وہ نہ سنگدل ہے نہ بے وفا ہے۔,13,mother its not Anna 's fault she's neither heartless nor unfaithful.,11,,,11,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:00:29.440,مجھے جانے دو۔  میں اسے ایک بار دلہن کے روپ میں دیکھنا چاہتا ہوں۔,14,Let me go; I want to see her dressed as a bride once.,13,,,13,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:01:19.560,کیا وہ ہمیں شادی میں اپنی بیٹی کا ہاتھ دے گا,11,Will he give us his daughter's hand in marriage,9,,,9,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:01:24.820,جب بھی مجھے ایسا لگے گا میں اسے حاصل کر لوں گا۔  وہ تکلیف اٹھاتے رہیں گے۔,17,I'll obtain her whenever I feel like it; they'll continue to suffer.,12,,,12,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:01:33.000,دراصل، انا نے خود ہی قاتل کے گھر دلہن کے طور پر جانے کا فیصلہ کیا،,16,"Actually, Anna herself decided to go to the murderer's house as a bride",13,,,13,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:01:40.520,بڑی بہن ہونے کے ناطے انا یہ قربانی دے رہی ہیں،,11,"Being the elder sister, Anna is making this sacrifice",9,,,9,0.0,0.8,0.2,negative,[],['sacrifice'],success
Qismat Ki Maari,00:01:48.000,تمام رسومات باقاعدہ شادی کی طرح ہی ادا کی جائیں گی۔,11,All the rituals will be performed just like in a regular wedding.,12,,,12,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:01:53.740,دولہا دلہن کو اس طرح لے جاتا ہے جیسے اس نے اسے اپنے مال سے خریدا ہو,17,The groom takes the bride as if he's bought her with his wealth,13,,,13,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:02:01.800,اور دلہن اپنی ساری زندگی اپنے باپ کے گناہوں کا کفارہ ادا کرنے میں گزار دیتی ہے۔,17,And the bride spends her entire life paying for her father's sins.,12,,,12,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:02:08.040,اب آپ بھی اپنی ماں کی عزت کا احترام کریں اور انا کو بھول جائیں,15,Now you too should respect your mother's honor and forget Anna,11,,,11,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:02:11.160,ایسا نہیں ہو سکتا۔  میں اسے نہیں ہونے دوں گا۔,10,It can't happen. I won't let it.,7,,,7,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:02:42.020,ویلج کونسل کے خلاف اپنا فیصلہ واپس لے لو,9,Revoke your decision against the village council,7,,,7,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:02:49.880,دیکھو میں تمہیں اس کے بدلے میں جتنے پیسے چاہو دینے کو تیار ہوں,14,"Look, I'm ready to give you as much money as you want in return for this",16,,,16,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:02:54.660,اور اپنا فیصلہ واپس لو,5,And take back your decision,5,,,5,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:11.600,جو کونسل کے فیصلے کے خلاف بغاوت کرتا ہے۔,9,who rebels against the decision of the council.,8,,,8,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:16.140,میں چچا خدا بخش کا داماد ہوں,7,i'am son of law of uncle khuda bux,8,,,8,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:18.460,میری اس لڑکی سے شادی ہو رہی ہے,8,I was getting married to that girl,7,,,7,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:28.340,یہ تو اچھی خبر ہے۔  اب تو بدلہ لینا آسان ہو گیا ہے,13,This is good news; now it has become easier to seek revenge,12,,,12,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:37.340,پیارے، اب اس لڑکی کا یہاں آنا بہت ضروری ہو گیا ہے,12,"Dear, now it has become very important for that girl to come here",13,,,13,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:48.380,دیکھو، میں اپنی آدھی زمین تمہارے نام کرنے کو تیار ہوں۔,11,"Look, I'm ready to transfer half of my land into your name.",12,,,12,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:52.900,لیکن یہ ناانصافی مت کرو,5,but don't do this injustic,5,,,5,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:55.700,یہ اور بھی بہتر ہے۔  آخر اس لڑکی کے بارے میں کوئی خاص بات ہونی چاہیے۔  وہ,17,"This is even better. After all, there must be something special about that girl.",14,,,14,0.8,0,0.2,positive,"['better', 'special']",[],success
Qismat Ki Maari,00:04:04.080,جس کے لیے میں یہاں اپنے وطن آیا ہوں,9,The one for whom I have come all the way here to my homeland,14,,,14,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:04:10.920,اور اس نے مجھے اپنی جائیداد کا حق بھی دیا ہے؟,11,and he also giving me his property right?,8,,,8,0.0,0.0,1.0,neutral,[],[],failed
